sigma,gauss_threshold,overlap_threshold,center_distance,pair_gap,number_samples,recall,precision,f1_score
34.28428428428429,0.11711711711711711,57.75775775775776,97.0970970970971,11.161161161161163,477,0.5,1.0,0.6666666666666666
35.83583583583584,0.26226226226226224,78.57857857857859,37.73773773773774,8.558558558558559,621,0.0,0.0,0.0
31.081081081081084,0.986986986986987,76.57657657657658,73.57357357357358,5.855855855855856,797,0.0,0.0,0.0
41.94194194194194,0.16716716716716717,98.7987987987988,31.831831831831835,5.505505505505506,593,0.0,0.0,0.0
1.3013013013013013,0.9519519519519519,31.931931931931935,58.95895895895896,34.68468468468469,930,1.0,1.0,1.0
49.0990990990991,0.3843843843843844,40.64064064064064,96.4964964964965,36.63663663663664,204,0.0,0.0,0.0
3.8538538538538543,0.6066066066066066,70.77077077077078,85.08508508508508,32.132132132132135,249,1.0,1.0,1.0
5.205205205205205,0.7137137137137137,79.17917917917919,30.830830830830834,43.54354354354355,701,1.0,1.0,1.0
30.730730730730734,0.8248248248248248,12.312312312312313,81.58158158158159,28.97897897897898,802,0.5,1.0,0.6666666666666666
2.1021021021021022,0.35535535535535534,54.55455455455456,43.84384384384385,33.88388388388388,380,1.0,1.0,1.0
3.5035035035035036,0.5185185185185185,66.36636636636636,34.93493493493494,0.6006006006006006,870,1.0,1.0,1.0
21.521521521521525,0.8428428428428428,50.150150150150154,10.810810810810812,22.172172172172175,984,0.0,0.0,0.0
18.51851851851852,0.6506506506506506,91.2912912912913,84.88488488488488,23.523523523523526,725,1.0,0.6666666666666666,0.8
7.807807807807809,0.44544544544544545,18.01801801801802,75.17517517517518,26.726726726726728,989,1.0,1.0,1.0
33.333333333333336,0.27627627627627627,63.06306306306307,82.78278278278279,47.0970970970971,552,0.5,1.0,0.6666666666666666
39.68968968968969,0.4954954954954955,47.64764764764765,44.64464464464465,42.292292292292295,749,0.0,0.0,0.0
30.330330330330334,0.27427427427427425,33.033033033033036,87.2872872872873,12.562562562562563,851,0.5,1.0,0.6666666666666666
